// 1.wav = blackbird-splutter
// 2.wav = hawk1
// 3.wav = red-tailed-hawk-scream
// 4.wav = robin-distress
// 5.wav = blackbird-warning
// 6.wav = owl-agitated
// 7.wav = red-tailed-hawk2
// 8.wav = robin-warning
// 9.wav = falcon
// 10.wav = owl-contact
// 11.wav = robin-alarm
//  wavFile, dayWeight, nightWeight, duration, minTimes
1.wav,5,5,7,4
2.wav,7,5,24,2
3.wav,8,5,22,2
4.wav,16,10,16,2
5.wav,8,5,3,8
6.wav,2,22,17,2
7.wav,8,5,14,3
8.wav,17,10,15,3
9.wav,7,5,3,7
10.wav,4,18,28,2
11.wav,18,10,15,3
// EOF
